sha256,human_override_moderation_flag,human_override_reason
examplesha123,SAFE_MANUAL,false positive. image is fine
7464253dc90970f5713716cf726ebc73284f6f5c512ed8a1d5507d150ee1e421,BLOCKED_MANUAL,do not display under any circumstance
df37782ab1a322018e9cf57e1981b08011a37a132d42db0d68efd8c473607f27,BLOCKED_MANUAL,adult content
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,BLOCKED_MANUAL,broken image
946817d16dcbafc3e19d61c3445412fbf086a737adc7e5e2f543fe34d41729ae,BLOCKED_MANUAL,gore
184ef3bf13f07c7a98002a2138ed1a6e4bd183be659f9f4a32e606f8b45cfaf3,BLOCKED_MANUAL,gore
ba172250b497c4a9bcd0f9003daea825b3d2f7b4f48b6e701f5d709f088655aa,BLOCKED_MANUAL,adult content
ed537fecba4d7416c8939be7160ba3de14086314ed20a286b3267469b28a9b56,BLOCKED_MANUAL,adult content
8972eb97c5a87335d7182f8bfa7c62c191fd5616e47bc28154054ecd98f071ee,BLOCKED_MANUAL,adult content
be6a11d3f1f97b2be8e6c67eecf4995c2ed5d6fb7b85357226a8bc02e6e90aa5,BLOCKED_MANUAL,adult content
cd1eeb4f720c74107f623342ec3b0cd9604187c82e69c214a448f17794ad571f,BLOCKED_MANUAL,adult content
37938f8e733754159fdfcb618c66d76539e627aeda113891f4c6af7e52011fdb,BLOCKED_MANUAL,adult content
77bc81283e3b75a7031dbd647b9552a4813d40143d5b1ff4bbbf30e0964e00cc,BLOCKED_MANUAL,adult content
289dc0accb213b67fa5071162f061d2e0a6b6c5c78685c06e13e41fc3ff36a99,BLOCKED_MANUAL,adult content
e170706e528dd3344d87af3a9aad39ef877b0db2b6a7694cd02d3b5e2d77b9b0,BLOCKED_MANUAL,adult content
3affd42195ec2f16d6dec08b115be467f18d833d64751099e8c0d0357dcfb236,BLOCKED_MANUAL,adult content
e0c7ebe9d8fc45f7faa4f426787dfa2479010c298d7d4618225477d50e6020d8,BLOCKED_MANUAL,adult content
037ee4d8726c52f85744bffc152a1ff250ef8838612e52831fced98efc891941,BLOCKED_MANUAL,adult content
b12d621bb06fb0afc52fdb11d4c89eb62b6617304e070c38cc00a97b40d686bd,BLOCKED_MANUAL,adult content
d3b0fd3670b7f79b458ce71894b6da96bbe733b043b019844c104eab533883e7,BLOCKED_MANUAL,adult content
60dc63c88b9f9c96b049e9ff928a33874f8f6f2029ddb4c4233a1b72fce9ca85,BLOCKED_MANUAL,adult content
91cbb58c01475fcdcaa9879560f2355a7ee0bc7e359823311911dda82214a08b,BLOCKED_MANUAL,adult content
05eff5028bd68a1e7e05209656f7178d6ceb86be30ac15bdb51b54b363aa7be0,BLOCKED_MANUAL,adult content
347cc5b64a5ae4088a5b47587855e58f6b7eb2349b88f98652cc42d7e575c2e0,BLOCKED_MANUAL,adult content
350cfe19bfb000ff4396635988094a96a3fcad247fb508371cfdd14e758a5ecb,BLOCKED_MANUAL,adult content
70c7c9ad3a3483f19ddb2c22cf78f1d803d320d89dfc415a1f3b69331f565137,BLOCKED_MANUAL,adult content
99310a9d04f5e1226f7adf073f66cda1059e17340bafa9dd99d1e45e262a46a8,BLOCKED_MANUAL,adult content
dd08a38e91727b28e05f6d2f1d4cfcb93b11f2675402e46e5f81586237b52ef0,BLOCKED_MANUAL,adult content
6d6ec5ac7429937fedb5f4568316f47721d343dde0dd1db269721bd12cc44df7,BLOCKED_MANUAL,adult content
0baeff26c6e76c7f32a80a4a901092d9ae29d3af7afd2966bdb0e6452399b7c1,BLOCKED_MANUAL,adult content
3b257797a164be7ef63f2b8867a49bb5b2b17c3aa1a21159b90aa38219d1d405,BLOCKED_MANUAL,adult content
041ffce14ec724677fdf7ef5895ebc912171b6da15ddbe2bdb9bcc55bd99f446,BLOCKED_MANUAL,adult content
a713bf9613b6534454d4e5e028aa41285b4c7cf41d2ec8dde97fa296132b7ed5,BLOCKED_MANUAL,adult content
4faab13b937c1d3b95f154fecc15f97487f403ea0b011572b189c573fb176380,BLOCKED_MANUAL,adult content
d98186b72a600c790ad2ed28d334ddb050d2178b97abfe3cca19c9f4d4d12e2b,BLOCKED_MANUAL,adult content
0e883c835f65748ee83af71f51032b4f0ca5190cd0e9c5408d03fbc0c0d349eb,BLOCKED_MANUAL,adult content
84ac8f7675823414de0c095b2d46bc098ce32b598ce77c2f4b181aaeea230a8f,BLOCKED_MANUAL,adult content
